experiment,algo,episode,distance
FOMAML,VPG,269,37.45
FOMAML,VPG,270,37.45
FOMAML,VPG,271,36.64
FOMAML,VPG,272,40.95
FOMAML,VPG,273,40.83
FOMAML,VPG,274,39.14
FOMAML,VPG,275,35.16
FOMAML,VPG,276,28.81
FOMAML,VPG,277,25.56
FOMAML,VPG,278,23.49
FOMAML,VPG,279,23.17
FOMAML,VPG,280,20.75
FOMAML,VPG,281,21.36
FOMAML,VPG,282,21.09
FOMAML,VPG,283,21.49
FOMAML,VPG,284,20.44
FOMAML,VPG,285,21.32
FOMAML,VPG,286,23.7
FOMAML,VPG,287,25.02
FOMAML,VPG,288,24.42
FOMAML,VPG,289,31.09
FOMAML,VPG,290,33.08
FOMAML,VPG,291,34.5
FOMAML,VPG,292,31.31
FOMAML,VPG,293,28.23
FOMAML,VPG,294,30.88
FOMAML,VPG,295,29.11
FOMAML,VPG,296,25.81
FOMAML,VPG,297,24.52
FOMAML,VPG,298,23.29
FOMAML,VPG,299,23.83
FOMAML,VPG,300,20.83
FOMAML,VPG,301,21.36
FOMAML,VPG,302,20.51
FOMAML,VPG,303,22.99
FOMAML,VPG,304,23.47
FOMAML,VPG,305,23.71
FOMAML,VPG,306,23.55
FOMAML,VPG,307,24.11
FOMAML,VPG,308,23.38
FOMAML,VPG,309,21.39
FOMAML,VPG,310,23.04
FOMAML,VPG,311,21.97
FOMAML,VPG,312,22.76
FOMAML,VPG,313,21.42
FOMAML,VPG,314,22.21
FOMAML,VPG,315,21.22
FOMAML,VPG,316,22.22
FOMAML,VPG,317,21.49
FOMAML,VPG,318,22.43
FOMAML,VPG,319,24.29
FOMAML,VPG,320,21.77
FOMAML,VPG,321,22.04
FOMAML,VPG,322,22.28
FOMAML,VPG,323,22.35
FOMAML,VPG,324,23.04
FOMAML,VPG,325,23.2
FOMAML,VPG,326,25.28
FOMAML,VPG,327,22.35
FOMAML,VPG,328,24.54
FOMAML,VPG,329,22.28
FOMAML,VPG,330,23.06
FOMAML,VPG,331,24.03
FOMAML,VPG,332,22.06
FOMAML,VPG,333,22.25
FOMAML,VPG,334,21.82
FOMAML,VPG,335,21.83
FOMAML,VPG,336,23.63
FOMAML,VPG,337,22.29
FOMAML,VPG,338,21.77
FOMAML,VPG,339,21.73
FOMAML,VPG,340,21.6
FOMAML,VPG,341,20.7
FOMAML,VPG,342,22.93
FOMAML,VPG,343,21.05
FOMAML,VPG,344,21.47
FOMAML,VPG,345,22.4
FOMAML,VPG,346,22.06
FOMAML,VPG,347,22.08
FOMAML,VPG,348,21.88
FOMAML,VPG,349,23.03
FOMAML,VPG,350,22.38
FOMAML,VPG,351,24.86
FOMAML,VPG,352,22.21
FOMAML,VPG,353,22.62
FOMAML,VPG,354,23.32
FOMAML,VPG,355,24.31
FOMAML,VPG,356,25.02
FOMAML,VPG,357,26.61
FOMAML,VPG,358,25.46
FOMAML,VPG,359,24.78
FOMAML,VPG,360,23.45
FOMAML,VPG,361,23.19
FOMAML,VPG,362,24.37
FOMAML,VPG,363,22.86
