experiment,algo,episode,distance,time
lean_by_difficulty,VPG,254,1.46,0
lean_by_difficulty,VPG,255,1.41,0
lean_by_difficulty,VPG,256,2.01,0
lean_by_difficulty,VPG,257,1.55,0
lean_by_difficulty,VPG,258,2.44,0
lean_by_difficulty,VPG,259,1.52,0
lean_by_difficulty,VPG,260,1.34,0
lean_by_difficulty,VPG,261,3.34,0
lean_by_difficulty,VPG,262,2.25,0
lean_by_difficulty,VPG,263,3.06,0
lean_by_difficulty,VPG,264,1.78,0
lean_by_difficulty,VPG,265,1.76,0
lean_by_difficulty,VPG,266,1.38,0
lean_by_difficulty,VPG,267,1.89,0
lean_by_difficulty,VPG,268,1.93,0
lean_by_difficulty,VPG,269,0.56,0
lean_by_difficulty,VPG,270,1.29,0
lean_by_difficulty,VPG,271,1.43,0
lean_by_difficulty,VPG,272,1.62,0
lean_by_difficulty,VPG,273,2.21,0
lean_by_difficulty,VPG,274,3.7,0
lean_by_difficulty,VPG,275,2.57,0
lean_by_difficulty,VPG,276,1.79,0
lean_by_difficulty,VPG,277,2.15,0
lean_by_difficulty,VPG,278,1.29,0
lean_by_difficulty,VPG,279,2.33,0
lean_by_difficulty,VPG,280,1.68,0
lean_by_difficulty,VPG,281,1.24,0
lean_by_difficulty,VPG,282,0.9,0
lean_by_difficulty,VPG,283,1.4,0
lean_by_difficulty,VPG,284,1.85,0
lean_by_difficulty,VPG,285,1.35,0
lean_by_difficulty,VPG,286,0.94,0
lean_by_difficulty,VPG,287,0.93,0
lean_by_difficulty,VPG,288,1.04,0
lean_by_difficulty,VPG,289,0,0
lean_by_difficulty,VPG,290,2.47,0
lean_by_difficulty,VPG,291,3.31,0
lean_by_difficulty,VPG,292,1.46,0
lean_by_difficulty,VPG,293,2.7,0
lean_by_difficulty,VPG,294,2.24,0
lean_by_difficulty,VPG,295,2.01,0
lean_by_difficulty,VPG,296,1.37,0
lean_by_difficulty,VPG,297,1.06,0
lean_by_difficulty,VPG,298,0.74,0
lean_by_difficulty,VPG,299,1.75,0
lean_by_difficulty,VPG,300,1.3,0
lean_by_difficulty,VPG,301,0.85,0
lean_by_difficulty,VPG,302,1.59,0
lean_by_difficulty,VPG,303,1.14,0
lean_by_difficulty,VPG,304,1.7,0
lean_by_difficulty,VPG,305,0.96,0
lean_by_difficulty,VPG,306,1.45,0
lean_by_difficulty,VPG,307,0.75,0
lean_by_difficulty,VPG,308,1.32,0
lean_by_difficulty,VPG,309,0.89,0
lean_by_difficulty,VPG,310,1.15,0
lean_by_difficulty,VPG,311,2.34,0
lean_by_difficulty,VPG,312,2.99,0
lean_by_difficulty,VPG,313,1.28,0
lean_by_difficulty,VPG,314,1.45,0
lean_by_difficulty,VPG,315,1.35,0
lean_by_difficulty,VPG,316,1.41,0
lean_by_difficulty,VPG,317,1.14,0
lean_by_difficulty,VPG,318,0.94,0
lean_by_difficulty,VPG,319,1.23,0
lean_by_difficulty,VPG,320,1.17,0
lean_by_difficulty,VPG,321,1.48,0
lean_by_difficulty,VPG,322,1.08,0
lean_by_difficulty,VPG,323,2.09,0
lean_by_difficulty,VPG,324,2.67,0
lean_by_difficulty,VPG,325,1.27,0
lean_by_difficulty,VPG,326,2.12,0
lean_by_difficulty,VPG,327,1.1,0
lean_by_difficulty,VPG,328,2.47,0
lean_by_difficulty,VPG,329,1.58,0
lean_by_difficulty,VPG,330,3.78,0
lean_by_difficulty,VPG,331,2.96,0
lean_by_difficulty,VPG,332,2.08,0
lean_by_difficulty,VPG,333,1.13,0
lean_by_difficulty,VPG,334,1.89,0
lean_by_difficulty,VPG,335,1.99,0
lean_by_difficulty,VPG,336,1.62,0
lean_by_difficulty,VPG,337,2.17,0
lean_by_difficulty,VPG,338,2.67,0
lean_by_difficulty,VPG,339,2.81,0
lean_by_difficulty,VPG,340,3.79,0
lean_by_difficulty,VPG,341,3.38,0
lean_by_difficulty,VPG,342,3.15,0
lean_by_difficulty,VPG,343,2.99,0
lean_by_difficulty,VPG,344,2.7,0
lean_by_difficulty,VPG,345,1.33,0
lean_by_difficulty,VPG,346,2.89,0
lean_by_difficulty,VPG,347,4.87,0
lean_by_difficulty,VPG,348,3.26,0
lean_by_difficulty,VPG,349,4.22,0
lean_by_difficulty,VPG,350,6.09,0
lean_by_difficulty,VPG,351,5.07,0
lean_by_difficulty,VPG,352,3.14,0
lean_by_difficulty,VPG,353,6.39,0
lean_by_difficulty,VPG,354,3.36,0
lean_by_difficulty,VPG,355,3.09,0
lean_by_difficulty,VPG,356,3.4,0
lean_by_difficulty,VPG,357,2.69,0
lean_by_difficulty,VPG,358,3.66,0
lean_by_difficulty,VPG,359,3.51,0
lean_by_difficulty,VPG,360,3.12,0
lean_by_difficulty,VPG,361,3.25,0
lean_by_difficulty,VPG,362,5.69,0
lean_by_difficulty,VPG,363,1.7,0
lean_by_difficulty,VPG,364,2.6,0
lean_by_difficulty,VPG,365,3.06,0
lean_by_difficulty,VPG,366,2.49,0
lean_by_difficulty,VPG,367,1.36,0
lean_by_difficulty,VPG,368,2.49,0
lean_by_difficulty,VPG,369,2.21,0
lean_by_difficulty,VPG,370,2.61,0
lean_by_difficulty,VPG,371,1.47,0
lean_by_difficulty,VPG,372,0.44,0
lean_by_difficulty,VPG,373,1.07,0
lean_by_difficulty,VPG,374,0.96,0
lean_by_difficulty,VPG,375,1.09,0
lean_by_difficulty,VPG,376,0.65,0
lean_by_difficulty,VPG,377,0.52,0
lean_by_difficulty,VPG,378,0.17,0
lean_by_difficulty,VPG,379,0.33,0
lean_by_difficulty,VPG,380,0.59,0
lean_by_difficulty,VPG,381,0.31,0
lean_by_difficulty,VPG,382,0.33,0
lean_by_difficulty,VPG,383,1.19,0
lean_by_difficulty,VPG,384,1.62,0
lean_by_difficulty,VPG,385,1.35,0
lean_by_difficulty,VPG,386,1.01,0
lean_by_difficulty,VPG,387,0.98,0
lean_by_difficulty,VPG,388,0.32,0
lean_by_difficulty,VPG,389,1.18,0
lean_by_difficulty,VPG,390,1.69,0
lean_by_difficulty,VPG,391,0.83,0
lean_by_difficulty,VPG,392,1.95,0
lean_by_difficulty,VPG,393,1.76,0
lean_by_difficulty,VPG,394,3.62,0
lean_by_difficulty,VPG,395,1.85,0
lean_by_difficulty,VPG,396,2.83,0
lean_by_difficulty,VPG,397,3,0
lean_by_difficulty,VPG,398,1.21,0
lean_by_difficulty,VPG,399,0.32,0
lean_by_difficulty,VPG,400,0.45,0
lean_by_difficulty,VPG,401,0.23,0
lean_by_difficulty,VPG,402,0.58,0
lean_by_difficulty,VPG,403,0.6,0
lean_by_difficulty,VPG,404,0.92,0
lean_by_difficulty,VPG,405,1.44,0
lean_by_difficulty,VPG,406,2.15,0
lean_by_difficulty,VPG,407,1.95,0
lean_by_difficulty,VPG,408,1.1,0
lean_by_difficulty,VPG,409,2.71,0
lean_by_difficulty,VPG,410,1.81,0
lean_by_difficulty,VPG,411,1.8,0
lean_by_difficulty,VPG,412,3.05,0
lean_by_difficulty,VPG,413,2.5,0
lean_by_difficulty,VPG,414,2.56,0
lean_by_difficulty,VPG,415,1.43,0
lean_by_difficulty,VPG,416,0.67,0
lean_by_difficulty,VPG,417,1.37,0
lean_by_difficulty,VPG,418,1.6,0
lean_by_difficulty,VPG,419,1.62,0
lean_by_difficulty,VPG,420,1.23,0
lean_by_difficulty,VPG,421,1.69,0
lean_by_difficulty,VPG,422,0.65,0
lean_by_difficulty,VPG,423,0.69,0
lean_by_difficulty,VPG,424,0.75,0
lean_by_difficulty,VPG,425,1.05,0
lean_by_difficulty,VPG,426,0.88,0
lean_by_difficulty,VPG,427,0.22,0
lean_by_difficulty,VPG,428,0.48,0
lean_by_difficulty,VPG,429,0.77,0
lean_by_difficulty,VPG,430,0.31,0
lean_by_difficulty,VPG,431,0.44,0
lean_by_difficulty,VPG,432,0.65,0
lean_by_difficulty,VPG,433,0.5,0
lean_by_difficulty,VPG,434,0.8,0
lean_by_difficulty,VPG,435,0.18,0
lean_by_difficulty,VPG,436,0.41,0
lean_by_difficulty,VPG,437,0.31,0
lean_by_difficulty,VPG,438,0.63,0
lean_by_difficulty,VPG,439,0.05,0
lean_by_difficulty,VPG,440,0.23,0
lean_by_difficulty,VPG,441,0.82,0
lean_by_difficulty,VPG,442,0,0
lean_by_difficulty,VPG,443,0.56,0
lean_by_difficulty,VPG,444,0.68,0
lean_by_difficulty,VPG,445,0.71,0
lean_by_difficulty,VPG,446,0.59,0
lean_by_difficulty,VPG,447,0.47,0
lean_by_difficulty,VPG,448,2.16,0
lean_by_difficulty,VPG,449,1.15,0
lean_by_difficulty,VPG,450,0.54,0
lean_by_difficulty,VPG,451,1.21,0
lean_by_difficulty,VPG,452,0.64,0
lean_by_difficulty,VPG,453,0.5,0
lean_by_difficulty,VPG,454,1.01,0
lean_by_difficulty,VPG,455,0.74,0
lean_by_difficulty,VPG,456,1.22,0
lean_by_difficulty,VPG,457,1.79,0
lean_by_difficulty,VPG,458,0.83,0
lean_by_difficulty,VPG,459,1.32,0
lean_by_difficulty,VPG,460,0.47,0
lean_by_difficulty,VPG,461,0.61,0
lean_by_difficulty,VPG,462,0.82,0
lean_by_difficulty,VPG,463,0.27,0
lean_by_difficulty,VPG,464,0.7,0
lean_by_difficulty,VPG,465,0.3,0
lean_by_difficulty,VPG,466,0.37,0
lean_by_difficulty,VPG,467,0.37,0
lean_by_difficulty,VPG,468,0.05,0
lean_by_difficulty,VPG,469,0.23,0
lean_by_difficulty,VPG,470,0.54,0
lean_by_difficulty,VPG,471,0.52,0
lean_by_difficulty,VPG,472,0,0
lean_by_difficulty,VPG,473,0.67,0
lean_by_difficulty,VPG,474,0.47,0
lean_by_difficulty,VPG,475,0.51,0
lean_by_difficulty,VPG,476,0,0
lean_by_difficulty,VPG,477,0.44,0
lean_by_difficulty,VPG,478,0.13,0
lean_by_difficulty,VPG,479,0.29,0
lean_by_difficulty,VPG,480,0,0
lean_by_difficulty,VPG,481,0,0
lean_by_difficulty,VPG,482,0.34,0
lean_by_difficulty,VPG,483,0.69,0
lean_by_difficulty,VPG,484,1.17,0
lean_by_difficulty,VPG,485,0.43,0
lean_by_difficulty,VPG,486,0.46,0
lean_by_difficulty,VPG,487,0.47,0
lean_by_difficulty,VPG,488,0.67,0
lean_by_difficulty,VPG,489,1.6,0
lean_by_difficulty,VPG,490,1.22,0
lean_by_difficulty,VPG,491,0.22,0
lean_by_difficulty,VPG,492,0.74,0
lean_by_difficulty,VPG,493,0,0
lean_by_difficulty,VPG,494,0.65,0
lean_by_difficulty,VPG,495,0.78,0
lean_by_difficulty,VPG,496,0.26,0
lean_by_difficulty,VPG,497,0.09,0
lean_by_difficulty,VPG,498,0.18,0
lean_by_difficulty,VPG,499,0.52,0
lean_by_difficulty,VPG,500,0.57,0
lean_by_difficulty,VPG,501,0.56,0
lean_by_difficulty,VPG,502,0.78,0
lean_by_difficulty,VPG,503,0.37,0
lean_by_difficulty,VPG,504,0.32,0
lean_by_difficulty,VPG,505,0.16,0
lean_by_difficulty,VPG,506,0.11,0
lean_by_difficulty,VPG,507,0.33,0
lean_by_difficulty,VPG,508,0.41,0
lean_by_difficulty,VPG,509,0.27,0
lean_by_difficulty,VPG,510,0,0
lean_by_difficulty,VPG,511,0.54,0
lean_by_difficulty,VPG,512,0.13,0
lean_by_difficulty,VPG,513,0.32,0
lean_by_difficulty,VPG,514,0.21,0
lean_by_difficulty,VPG,515,0.32,0
lean_by_difficulty,VPG,516,0.51,0
lean_by_difficulty,VPG,517,0.68,0
lean_by_difficulty,VPG,518,0.8,0
lean_by_difficulty,VPG,519,0.73,0
lean_by_difficulty,VPG,520,0.1,0
lean_by_difficulty,VPG,521,0.54,0
lean_by_difficulty,VPG,522,1.08,0
lean_by_difficulty,VPG,523,1.55,0
lean_by_difficulty,VPG,524,1.05,0
lean_by_difficulty,VPG,525,0.73,0
lean_by_difficulty,VPG,526,0.45,0
lean_by_difficulty,VPG,527,0.26,0
lean_by_difficulty,VPG,528,1.26,0
lean_by_difficulty,VPG,529,0.41,0
lean_by_difficulty,VPG,530,0.64,0
lean_by_difficulty,VPG,531,0.18,0
lean_by_difficulty,VPG,532,0,0
lean_by_difficulty,VPG,533,0.63,0
lean_by_difficulty,VPG,534,0.5,0
lean_by_difficulty,VPG,535,0.92,0
lean_by_difficulty,VPG,536,0.3,0
lean_by_difficulty,VPG,537,0.88,0
lean_by_difficulty,VPG,538,0,0
lean_by_difficulty,VPG,539,0.57,0
lean_by_difficulty,VPG,540,0.14,0
lean_by_difficulty,VPG,541,0.03,0
lean_by_difficulty,VPG,542,0.31,0
lean_by_difficulty,VPG,543,0.4,0
lean_by_difficulty,VPG,544,0.75,0
lean_by_difficulty,VPG,545,0.52,0
lean_by_difficulty,VPG,546,0,0
lean_by_difficulty,VPG,547,0.31,0
lean_by_difficulty,VPG,548,0.33,0
lean_by_difficulty,VPG,549,0.45,0
lean_by_difficulty,VPG,550,0.81,0
lean_by_difficulty,VPG,551,0.13,0
lean_by_difficulty,VPG,552,0.97,0
lean_by_difficulty,VPG,553,0.21,0
lean_by_difficulty,VPG,554,0.42,0
lean_by_difficulty,VPG,555,0.27,0
lean_by_difficulty,VPG,556,0.34,0
lean_by_difficulty,VPG,557,0.33,0
lean_by_difficulty,VPG,558,0.11,0
lean_by_difficulty,VPG,559,0,0
lean_by_difficulty,VPG,560,0.49,0
lean_by_difficulty,VPG,561,0.3,0
lean_by_difficulty,VPG,562,0.08,0
lean_by_difficulty,VPG,563,0.16,0
lean_by_difficulty,VPG,564,0,0
lean_by_difficulty,VPG,565,0.64,0
lean_by_difficulty,VPG,566,0,0
lean_by_difficulty,VPG,567,0.13,0
lean_by_difficulty,VPG,568,0.33,0
lean_by_difficulty,VPG,569,0.41,0
lean_by_difficulty,VPG,570,0.14,0
lean_by_difficulty,VPG,571,0,0
lean_by_difficulty,VPG,572,0.29,0
lean_by_difficulty,VPG,573,0.14,0
lean_by_difficulty,VPG,574,0,0
lean_by_difficulty,VPG,575,0.15,0
lean_by_difficulty,VPG,576,0.51,0
lean_by_difficulty,VPG,577,0.05,0
lean_by_difficulty,VPG,578,0.18,0
lean_by_difficulty,VPG,579,0.08,0
lean_by_difficulty,VPG,580,0.17,0
lean_by_difficulty,VPG,581,0.26,0
lean_by_difficulty,VPG,582,0.13,0
lean_by_difficulty,VPG,583,0.31,0
lean_by_difficulty,VPG,584,0.35,0
lean_by_difficulty,VPG,585,0.11,0
