experiment,algo,episode,distance
original,VPG,390,15.98
original,VPG,391,16.77
original,VPG,392,23.96
original,VPG,393,15.38
original,VPG,394,28.44
original,VPG,395,17.69
original,VPG,396,26.12
original,VPG,397,27.66
original,VPG,398,33.22
original,VPG,399,26.41
original,VPG,400,22.46
original,VPG,401,19.95
original,VPG,402,28.89
original,VPG,403,19.8
original,VPG,404,27.74
original,VPG,405,33.92
original,VPG,406,18.21
original,VPG,407,30.84
original,VPG,408,18.3
original,VPG,409,35.12
original,VPG,410,34.49
original,VPG,411,29.08
original,VPG,412,32.31
original,VPG,413,31.29
original,VPG,414,35.25
original,VPG,415,32.85
original,VPG,416,32.33
original,VPG,417,35.74
original,VPG,418,33.39
original,VPG,419,35.78
original,VPG,420,38.79
original,VPG,421,37.29
original,VPG,422,38.92
original,VPG,423,37.92
original,VPG,424,32.01
original,VPG,425,26.07
original,VPG,426,34.53
original,VPG,427,34.88
original,VPG,428,33.9
original,VPG,429,34.14
original,VPG,430,34.54
original,VPG,431,39.62
original,VPG,432,25.17
original,VPG,433,22.26
original,VPG,434,20.61
original,VPG,435,39.3
original,VPG,436,35.47
original,VPG,437,23.72
original,VPG,438,32.36
original,VPG,439,19.61
original,VPG,440,35.47
original,VPG,441,30.04
original,VPG,442,35.17
original,VPG,443,38.78
original,VPG,444,36.67
original,VPG,445,34.59
original,VPG,446,33.89
original,VPG,447,30.79
original,VPG,448,31.4
original,VPG,449,35.53
original,VPG,450,32.24
original,VPG,451,36.5
original,VPG,452,19.19
original,VPG,453,21.29
original,VPG,454,33.05
original,VPG,455,31.67
original,VPG,456,32.84
original,VPG,457,34.09
original,VPG,458,35.8
original,VPG,459,20.41
original,VPG,460,20.01
original,VPG,461,35.7
original,VPG,462,35.27
original,VPG,463,34.54
original,VPG,464,32.41
original,VPG,465,22.05
original,VPG,466,35.12
original,VPG,467,37.27
original,VPG,468,34.78
original,VPG,469,38.75
original,VPG,470,25.12
original,VPG,471,23.15
original,VPG,472,35.79
original,VPG,473,38.39
original,VPG,474,40.27
original,VPG,475,25.44
original,VPG,476,40.02
original,VPG,477,38.35
original,VPG,478,37.54
original,VPG,479,41.04
original,VPG,480,37.69
original,VPG,481,23.37
original,VPG,482,21.31
original,VPG,483,21.81
original,VPG,484,35.83
original,VPG,485,21.26
original,VPG,486,21.51
original,VPG,487,32.99
original,VPG,488,34.46
original,VPG,489,38.86
original,VPG,490,37.78
original,VPG,491,30.67
original,VPG,492,36.41
original,VPG,493,22.96
original,VPG,494,34.53
original,VPG,495,35.48
original,VPG,496,22.86
original,VPG,497,38.49
original,VPG,498,42.13
original,VPG,499,38.62
original,VPG,500,36.6
original,VPG,501,33.68
original,VPG,502,38.12
original,VPG,503,22.23
original,VPG,504,34.18
original,VPG,505,35.29
original,VPG,506,32.83
original,VPG,507,36.95
original,VPG,508,36.16
original,VPG,509,36.74
original,VPG,510,38.91
original,VPG,511,36.92
original,VPG,512,31.76
original,VPG,513,35.67
original,VPG,514,33.93
original,VPG,515,23.7
